Date,Property Type,Average Sales Price (AED/Sqf),Location,M-o-m Change (%),Q-o-q Change (%),Y-o-y Change (%)
01-08-2023,Apartment,1048.2,Abu Dhabi,0.0045,0.0212,0.0217
01-08-2023,Villa,907.5,Abu Dhabi,0.0126,0.0635,0.1068
01-07-2023,Apartment,1043.5,Abu Dhabi,0.008,0.0163,0.021
01-07-2023,Villa,896.2,Abu Dhabi,0.0293,0.066,0.0867
01-06-2023,Apartment,1035.2,Abu Dhabi,0.0085,0.0097,0.0221
01-06-2023,Villa,870.7,Abu Dhabi,0.0203,0.0465,0.0573
01-05-2023,Apartment,1026.4,Abu Dhabi,-0.0003,0.0003,0.0127
01-05-2023,Villa,853.3,Abu Dhabi,0.015,0.0316,0.0508
01-04-2023,Apartment,1026.8,Abu Dhabi,0.0015,0.0051,0.0122
01-04-2023,Villa,840.7,Abu Dhabi,0.0105,0.0155,0.0373
01-03-2023,Apartment,1025.2,Abu Dhabi,-0.0009,0.0046,0.0122
01-03-2023,Villa,832.0,Abu Dhabi,0.0058,-0.022,0.0119
01-02-2023,Apartment,1026.1,Abu Dhabi,0.0045,-0.0024,0.0155
01-02-2023,Villa,827.2,Abu Dhabi,-0.0009,-0.0224,0.0122
01-01-2023,Apartment,1021.6,Abu Dhabi,0.001,-0.0115,0.0102
01-01-2023,Villa,827.9,Abu Dhabi,-0.0268,-0.013,0.0148
01-12-2022,Apartment,1020.6,Abu Dhabi,-0.0078,-0.0135,0.0092
01-12-2022,Villa,850.7,Abu Dhabi,0.0054,0.016,0.0408
01-11-2022,Apartment,1028.6,Abu Dhabi,-0.0047,0.0025,0.023
01-11-2022,Villa,846.1,Abu Dhabi,0.0087,0.032,0.0341
01-10-2022,Apartment,1033.4,Abu Dhabi,-0.001,0.0112,0.026
01-10-2022,Villa,838.8,Abu Dhabi,0.0018,0.0171,0.0312
01-09-2022,Apartment,1034.5,Abu Dhabi,0.0083,0.0214,0.0322
01-09-2022,Villa,837.3,Abu Dhabi,0.0213,0.0168,0.0273
01-08-2022,Apartment,1026.0,Abu Dhabi,0.0039,0.0123,0.0277
01-08-2022,Villa,819.9,Abu Dhabi,-0.0058,0.0096,0.0222
01-07-2022,Apartment,1022.0,Abu Dhabi,0.0091,0.0075,0.0272
01-07-2022,Villa,824.7,Abu Dhabi,0.0014,0.0175,0.0338
01-06-2022,Apartment,1012.8,Abu Dhabi,-0.0007,0.0,0.0214
01-06-2022,Villa,823.5,Abu Dhabi,0.0141,0.0016,0.022
01-05-2022,Apartment,1013.6,Abu Dhabi,-0.0009,0.003,0.018
01-05-2022,Villa,812.1,Abu Dhabi,0.002,-0.0063,0.0058
01-04-2022,Apartment,1014.5,Abu Dhabi,0.0016,0.0032,0.0191
01-04-2022,Villa,810.5,Abu Dhabi,-0.0142,-0.0065,0.0043
01-03-2022,Apartment,1012.8,Abu Dhabi,0.0023,0.0015,0.0162
01-03-2022,Villa,822.2,Abu Dhabi,0.0061,0.0059,0.011
01-02-2022,Apartment,1010.5,Abu Dhabi,-0.0007,0.005,0.0161
01-02-2022,Villa,817.2,Abu Dhabi,0.0017,-0.0013,-0.0004
01-01-2022,Apartment,1011.2,Abu Dhabi,-0.0001,0.0039,0.018
01-01-2022,Villa,815.8,Abu Dhabi,-0.0019,0.0029,0.0102
01-12-2021,Apartment,1011.3,Abu Dhabi,0.0058,0.009,0.0158
01-12-2021,Villa,817.4,Abu Dhabi,-0.0011,0.0029,0.0148
01-11-2021,Apartment,1005.4,Abu Dhabi,-0.0018,0.0071,0.0138
01-11-2021,Villa,818.2,Abu Dhabi,0.0059,0.0201,0.0136
01-10-2021,Apartment,1007.2,Abu Dhabi,0.005,0.0123,0.0164
01-10-2021,Villa,813.4,Abu Dhabi,-0.002,0.0197,0.0279
01-09-2021,Apartment,1002.2,Abu Dhabi,0.0039,0.0108,0.0183
01-09-2021,Villa,815.0,Abu Dhabi,0.0161,0.0115,0.0397
01-08-2021,Apartment,998.3,Abu Dhabi,0.0033,0.0027,0.0193
01-08-2021,Villa,802.1,Abu Dhabi,0.0056,-0.0066,0.0308
01-07-2021,Apartment,995.0,Abu Dhabi,0.0035,-0.0005,0.0208
01-07-2021,Villa,797.7,Abu Dhabi,-0.01,-0.0116,0.0408
01-06-2021,Apartment,991.5,Abu Dhabi,-0.0041,-0.0052,0.0153
01-06-2021,Villa,805.7,Abu Dhabi,-0.0021,-0.0092,0.0628
01-05-2021,Apartment,995.6,Abu Dhabi,0.0002,0.0012,0.0055
01-05-2021,Villa,807.4,Abu Dhabi,0.0005,-0.0123,0.0546
01-04-2021,Apartment,995.4,Abu Dhabi,-0.0013,0.0022,0.003
01-04-2021,Villa,807.0,Abu Dhabi,-0.0076,-0.0007,0.0493
01-03-2021,Apartment,996.7,Abu Dhabi,0.0023,0.0012,-0.0026
01-03-2021,Villa,813.2,Abu Dhabi,-0.0052,0.0096,0.057
01-02-2021,Apartment,994.5,Abu Dhabi,0.0012,0.0027,-0.0116
01-02-2021,Villa,817.5,Abu Dhabi,0.0123,0.0127,0.0569
01-01-2021,Apartment,993.3,Abu Dhabi,-0.0023,0.0023,-0.0216
01-01-2021,Villa,807.6,Abu Dhabi,0.0026,0.0205,0.0344
01-12-2020,Apartment,995.6,Abu Dhabi,0.0038,0.0115,-0.0303
01-12-2020,Villa,805.5,Abu Dhabi,-0.0022,0.0275,0.0222
01-11-2020,Apartment,991.8,Abu Dhabi,0.0008,0.0126,-0.0415
01-11-2020,Villa,807.2,Abu Dhabi,0.0201,0.0374,0.0154
01-10-2020,Apartment,991.0,Abu Dhabi,0.0069,0.0167,-0.0462
01-10-2020,Villa,791.3,Abu Dhabi,0.0094,0.0325,-0.0158
01-09-2020,Apartment,984.3,Abu Dhabi,0.005,0.0079,-0.0601
01-09-2020,Villa,783.9,Abu Dhabi,0.0075,0.034,-0.0382
01-08-2020,Apartment,979.4,Abu Dhabi,0.0048,-0.0109,-0.0678
01-08-2020,Villa,778.1,Abu Dhabi,0.0153,0.0164,-0.053
01-07-2020,Apartment,974.7,Abu Dhabi,-0.0019,-0.0179,-0.0685
01-07-2020,Villa,766.4,Abu Dhabi,0.0109,-0.0034,-0.0647
01-06-2020,Apartment,976.6,Abu Dhabi,-0.0138,-0.0228,-0.0836
01-06-2020,Villa,758.2,Abu Dhabi,-0.0097,-0.0146,-0.0778
01-05-2020,Apartment,990.2,Abu Dhabi,-0.0023,-0.0158,-0.0846
01-05-2020,Villa,765.6,Abu Dhabi,-0.0045,-0.0102,-0.0654
01-04-2020,Apartment,992.5,Abu Dhabi,-0.0068,-0.0223,-0.0869
01-04-2020,Villa,769.1,Abu Dhabi,-0.0004,-0.0149,-0.069
01-03-2020,Apartment,999.3,Abu Dhabi,-0.0067,-0.0267,-0.0893
01-03-2020,Villa,769.4,Abu Dhabi,-0.0053,-0.0237,-0.0772
01-02-2020,Apartment,1006.1,Abu Dhabi,-0.0089,-0.0277,-0.0764
01-02-2020,Villa,773.5,Abu Dhabi,-0.0093,-0.0271,-0.0772
01-01-2020,Apartment,1015.2,Abu Dhabi,-0.0112,-0.023,-0.0753
01-01-2020,Villa,780.7,Abu Dhabi,-0.0093,-0.029,-0.0664
01-12-2019,Apartment,1026.7,Abu Dhabi,-0.0078,-0.0196,-0.0756
01-12-2019,Villa,788.0,Abu Dhabi,-0.0088,-0.0333,-0.0738
01-11-2019,Apartment,1034.8,Abu Dhabi,-0.0041,-0.0151,-0.0753
01-11-2019,Villa,795.0,Abu Dhabi,-0.0112,-0.0325,-0.0739
01-10-2019,Apartment,1039.0,Abu Dhabi,-0.0078,-0.007,-0.0779
01-10-2019,Villa,804.0,Abu Dhabi,-0.0136,-0.0188,-0.0758
01-09-2019,Apartment,1047.2,Abu Dhabi,-0.0032,-0.0173,-0.0839
01-09-2019,Villa,815.1,Abu Dhabi,-0.008,-0.0086,-0.0552
01-08-2019,Apartment,1050.6,Abu Dhabi,0.0041,-0.0288,-0.0871
01-08-2019,Villa,821.7,Abu Dhabi,0.0028,0.0031,-0.0518
01-07-2019,Apartment,1046.4,Abu Dhabi,-0.0182,-0.0374,-0.1008
01-07-2019,Villa,819.4,Abu Dhabi,-0.0033,-0.0081,-0.0501
01-06-2019,Apartment,1065.7,Abu Dhabi,-0.0148,-0.0288,-0.087
01-06-2019,Villa,822.2,Abu Dhabi,0.0036,-0.0139,-0.0491
01-05-2019,Apartment,1081.8,Abu Dhabi,-0.0048,-0.0069,-0.0803
01-05-2019,Villa,819.2,Abu Dhabi,-0.0084,-0.0226,-0.0708
01-04-2019,Apartment,1087.0,Abu Dhabi,-0.0094,-0.0098,-0.0811
01-04-2019,Villa,826.1,Abu Dhabi,-0.0092,-0.0122,-0.06
01-03-2019,Apartment,1097.3,Abu Dhabi,0.0073,-0.012,-0.0664
01-03-2019,Villa,833.7,Abu Dhabi,-0.0053,-0.0201,-0.0624
01-02-2019,Apartment,1089.3,Abu Dhabi,-0.0077,-0.0265,-0.0742
01-02-2019,Villa,838.1,Abu Dhabi,0.0023,-0.0237,-0.0616
01-01-2019,Apartment,1097.8,Abu Dhabi,-0.0116,-0.0257,-0.0767
01-01-2019,Villa,836.3,Abu Dhabi,-0.0171,-0.0387,-0.0744
01-12-2018,Apartment,1110.7,Abu Dhabi,-0.0074,-0.0284,-0.0705
01-12-2018,Villa,850.8,Abu Dhabi,-0.0089,-0.0138,-0.0593
01-11-2018,Apartment,1119.0,Abu Dhabi,-0.0069,-0.0277,-0.0701
01-11-2018,Villa,858.5,Abu Dhabi,-0.0132,-0.0093,-0.0436
01-10-2018,Apartment,1126.8,Abu Dhabi,-0.0142,-0.0317,-0.0697
01-10-2018,Villa,869.9,Abu Dhabi,0.0084,0.0085,-0.0286
01-09-2018,Apartment,1143.1,Abu Dhabi,-0.0068,-0.0207,-0.0647
01-09-2018,Villa,862.7,Abu Dhabi,-0.0044,-0.0021,-0.0314
01-08-2018,Apartment,1150.9,Abu Dhabi,-0.011,-0.0216,-0.0711
01-08-2018,Villa,866.6,Abu Dhabi,0.0046,-0.017,-0.0298
01-07-2018,Apartment,1163.7,Abu Dhabi,-0.003,-0.0163,-0.0717
01-07-2018,Villa,862.6,Abu Dhabi,-0.0023,-0.0184,-0.0425
01-06-2018,Apartment,1167.2,Abu Dhabi,-0.0077,-0.007,-0.0764
01-06-2018,Villa,864.6,Abu Dhabi,-0.0193,-0.0277,-0.0481
01-05-2018,Apartment,1176.2,Abu Dhabi,-0.0057,-0.0003,-0.0837
01-05-2018,Villa,881.6,Abu Dhabi,0.0032,-0.013,-0.0386
01-04-2018,Apartment,1183.0,Abu Dhabi,0.0065,-0.005,-0.0747
01-04-2018,Villa,878.8,Abu Dhabi,-0.0117,-0.0273,-0.0374
01-03-2018,Apartment,1175.4,Abu Dhabi,-0.0011,-0.0164,-0.0851
01-03-2018,Villa,889.2,Abu Dhabi,-0.0045,-0.0169,-0.0303
01-02-2018,Apartment,1176.6,Abu Dhabi,-0.0104,-0.0223,-0.0915
01-02-2018,Villa,893.2,Abu Dhabi,-0.0114,-0.005,-0.0418
01-01-2018,Apartment,1189.0,Abu Dhabi,-0.005,-0.0184,-0.0921
01-01-2018,Villa,903.5,Abu Dhabi,-0.0011,0.0088,-0.0425
01-12-2017,Apartment,1195.0,Abu Dhabi,-0.007,-0.0223,-0.1017
01-12-2017,Villa,904.4,Abu Dhabi,0.0076,0.0154,-0.0543
01-11-2017,Apartment,1203.4,Abu Dhabi,-0.0065,-0.0287,-0.1048
01-11-2017,Villa,897.6,Abu Dhabi,0.0023,0.005,-0.0686
01-10-2017,Apartment,1211.3,Abu Dhabi,-0.0089,-0.0338,-0.0989
01-10-2017,Villa,895.6,Abu Dhabi,0.0055,-0.0059,-0.082
01-09-2017,Apartment,1222.2,Abu Dhabi,-0.0136,-0.0329,-0.095
01-09-2017,Villa,890.7,Abu Dhabi,-0.0028,-0.0194,-0.0863
01-08-2017,Apartment,1239.0,Abu Dhabi,-0.0117,-0.0348,-0.0876
01-08-2017,Villa,893.2,Abu Dhabi,-0.0085,-0.0259,-0.087
01-07-2017,Apartment,1253.6,Abu Dhabi,-0.008,-0.0195,-0.0775
01-07-2017,Villa,900.9,Abu Dhabi,-0.0082,-0.0132,-0.0752
01-06-2017,Apartment,1263.7,Abu Dhabi,-0.0155,-0.0163,-0.073
01-06-2017,Villa,908.3,Abu Dhabi,-0.0095,-0.0095,-0.068
01-05-2017,Apartment,1283.6,Abu Dhabi,0.004,-0.0089,-0.0586
01-05-2017,Villa,917.0,Abu Dhabi,0.0045,-0.0162,-0.0616
01-04-2017,Apartment,1278.5,Abu Dhabi,-0.0048,-0.0238,-0.0651
01-04-2017,Villa,912.9,Abu Dhabi,-0.0044,-0.0325,-0.0668
01-03-2017,Apartment,1284.7,Abu Dhabi,-0.0081,-0.0343,-0.0661
01-03-2017,Villa,917.0,Abu Dhabi,-0.0163,-0.0412,-0.0742
01-02-2017,Apartment,1295.1,Abu Dhabi,-0.0111,-0.0365,-0.0582
01-02-2017,Villa,932.1,Abu Dhabi,-0.0121,-0.0328,-0.0743
01-01-2017,Apartment,1309.6,Abu Dhabi,-0.0156,-0.0257,-0.0475
01-01-2017,Villa,943.5,Abu Dhabi,-0.0134,-0.0329,-0.0617
01-12-2016,Apartment,1330.3,Abu Dhabi,-0.0104,-0.0149,-0.0329
01-12-2016,Villa,956.4,Abu Dhabi,-0.0077,-0.0189,-0.0547
01-11-2016,Apartment,1344.3,Abu Dhabi,0.0,-0.0101,-0.0232
01-11-2016,Villa,963.8,Abu Dhabi,-0.0121,-0.0149,-0.0505
01-10-2016,Apartment,1344.2,Abu Dhabi,-0.0046,-0.0108,-0.011
01-10-2016,Villa,975.6,Abu Dhabi,0.0008,0.0015,-0.0386
01-09-2016,Apartment,1350.4,Abu Dhabi,-0.0056,-0.0094,-0.0089
01-09-2016,Villa,974.8,Abu Dhabi,-0.0036,0.0003,-0.0441
01-08-2016,Apartment,1358.0,Abu Dhabi,-0.0007,-0.004,-0.0075
01-08-2016,Villa,978.4,Abu Dhabi,0.0043,0.0012,-0.0418
01-07-2016,Apartment,1359.0,Abu Dhabi,-0.0031,-0.0063,-0.0107
01-07-2016,Villa,974.1,Abu Dhabi,-0.0004,-0.0041,-0.0498
01-06-2016,Apartment,1363.2,Abu Dhabi,-0.0002,-0.0091,-0.0058
01-06-2016,Villa,974.6,Abu Dhabi,-0.0027,-0.016,-0.0422
01-05-2016,Apartment,1363.5,Abu Dhabi,-0.003,-0.0085,-0.0065
01-05-2016,Villa,977.2,Abu Dhabi,-0.001,-0.0296,-0.0372
01-04-2016,Apartment,1367.5,Abu Dhabi,-0.0059,-0.0053,-0.009
01-04-2016,Villa,978.2,Abu Dhabi,-0.0123,-0.0272,-0.0339
01-03-2016,Apartment,1375.7,Abu Dhabi,0.0004,0.0001,-0.017
01-03-2016,Villa,990.4,Abu Dhabi,-0.0164,-0.0211,-0.0283
01-02-2016,Apartment,1375.2,Abu Dhabi,0.0002,-0.0008,-0.0237
01-02-2016,Villa,1007.0,Abu Dhabi,0.0014,-0.008,-0.0113
01-01-2016,Apartment,1374.9,Abu Dhabi,-0.0005,0.0116,-0.0268
01-01-2016,Villa,1005.6,Abu Dhabi,-0.0061,-0.0091,-0.0242
01-12-2015,Apartment,1375.6,Abu Dhabi,-0.0005,0.0095,-0.0259
01-12-2015,Villa,1011.8,Abu Dhabi,-0.0033,-0.0079,-0.0156
01-11-2015,Apartment,1376.3,Abu Dhabi,0.0126,0.0058,-0.0315
01-11-2015,Villa,1015.1,Abu Dhabi,0.0003,-0.0058,-0.0217
01-10-2015,Apartment,1359.2,Abu Dhabi,-0.0025,-0.0105,-0.0408
01-10-2015,Villa,1014.8,Abu Dhabi,-0.0049,-0.0101,-0.0103
01-09-2015,Apartment,1362.5,Abu Dhabi,-0.0042,-0.0063,-0.0402
01-09-2015,Villa,1019.9,Abu Dhabi,-0.0011,0.0023,-0.0019
01-08-2015,Apartment,1368.3,Abu Dhabi,-0.0039,-0.003,-0.0355
01-08-2015,Villa,1021.0,Abu Dhabi,-0.0041,0.006,-0.0021
01-07-2015,Apartment,1373.6,Abu Dhabi,0.0018,-0.0046,-0.0343
01-07-2015,Villa,1025.2,Abu Dhabi,0.0075,0.0126,0.0043
01-06-2015,Apartment,1371.2,Abu Dhabi,-0.0009,-0.0202,-0.0406
01-06-2015,Villa,1017.6,Abu Dhabi,0.0026,-0.0016,0.0005
01-05-2015,Apartment,1372.4,Abu Dhabi,-0.0054,-0.0256,-0.038
01-05-2015,Villa,1014.9,Abu Dhabi,0.0024,-0.0035,0.0159
01-04-2015,Apartment,1379.9,Abu Dhabi,-0.014,-0.0232,-0.0279
01-04-2015,Villa,1012.5,Abu Dhabi,-0.0066,-0.0174,0.0353
01-03-2015,Apartment,1399.5,Abu Dhabi,-0.0064,-0.009,-0.0015
01-03-2015,Villa,1019.2,Abu Dhabi,0.0007,-0.0083,0.0511
01-02-2015,Apartment,1408.5,Abu Dhabi,-0.003,-0.0088,0.0282
01-02-2015,Villa,1018.5,Abu Dhabi,-0.0116,-0.0184,0.0748
01-01-2015,Apartment,1412.8,Abu Dhabi,0.0004,-0.0029,0.0692
01-01-2015,Villa,1030.5,Abu Dhabi,0.0026,0.0049,0.0953
01-12-2014,Apartment,1412.2,Abu Dhabi,-0.0063,-0.0053,0.1028
01-12-2014,Villa,1027.7,Abu Dhabi,-0.0095,0.0058,0.1191
01-11-2014,Apartment,1421.1,Abu Dhabi,0.0029,0.0017,0.1354
01-11-2014,Villa,1037.6,Abu Dhabi,0.0119,0.0141,0.1565
01-10-2014,Apartment,1416.9,Abu Dhabi,-0.0019,-0.0038,0.154
01-10-2014,Villa,1025.4,Abu Dhabi,0.0035,0.0044,0.164
01-09-2014,Apartment,1419.7,Abu Dhabi,0.0007,-0.0067,0.1781
01-09-2014,Villa,1021.8,Abu Dhabi,-0.0013,0.0047,0.1784
01-08-2014,Apartment,1418.7,Abu Dhabi,-0.0026,-0.0056,0.1992
01-08-2014,Villa,1023.2,Abu Dhabi,0.0022,0.0241,0.1879
01-07-2014,Apartment,1422.4,Abu Dhabi,-0.0048,0.002,0.2199
01-07-2014,Villa,1020.9,Abu Dhabi,0.0038,0.0438,0.1981
01-06-2014,Apartment,1429.2,Abu Dhabi,0.0018,0.0197,0.2498
01-06-2014,Villa,1017.0,Abu Dhabi,0.0179,0.0488,0.2065
01-05-2014,Apartment,1426.7,Abu Dhabi,0.0051,0.0415,0.2754
01-05-2014,Villa,999.1,Abu Dhabi,0.0216,0.0544,0.1876
01-04-2014,Apartment,1419.5,Abu Dhabi,0.0128,0.0743,0.2965
01-04-2014,Villa,978.0,Abu Dhabi,0.0086,0.0395,0.1604
01-03-2014,Apartment,1401.6,Abu Dhabi,0.0232,0.0946,0.3045
01-03-2014,Villa,969.7,Abu Dhabi,0.0233,0.0559,0.1497
01-02-2014,Apartment,1369.8,Abu Dhabi,0.0366,0.0944,0.2991
01-02-2014,Villa,947.6,Abu Dhabi,0.0072,0.0561,0.1324
01-01-2014,Apartment,1321.4,Abu Dhabi,0.032,0.0762,0.2649
01-01-2014,Villa,940.8,Abu Dhabi,0.0245,0.068,0.1389
01-12-2013,Apartment,1280.5,Abu Dhabi,0.0231,0.0626,0.2403
01-12-2013,Villa,918.3,Abu Dhabi,0.0236,0.0591,0.1314
01-11-2013,Apartment,1251.6,Abu Dhabi,0.0194,0.0579,0.2231
01-11-2013,Villa,897.2,Abu Dhabi,0.0185,0.0417,0.1292
01-10-2013,Apartment,1227.8,Abu Dhabi,0.0189,0.0531,0.2188
01-10-2013,Villa,880.9,Abu Dhabi,0.0159,0.0338,0.1315
01-09-2013,Apartment,1205.0,Abu Dhabi,0.0186,0.0537,0.2071
01-09-2013,Villa,867.1,Abu Dhabi,0.0067,0.0286,0.132
01-08-2013,Apartment,1183.1,Abu Dhabi,0.0147,0.0576,0.1803
01-08-2013,Villa,861.3,Abu Dhabi,0.0108,0.0238,0.1243
01-07-2013,Apartment,1165.9,Abu Dhabi,0.0195,0.0649,0.1639
01-07-2013,Villa,852.1,Abu Dhabi,0.0109,0.011,0.1
01-06-2013,Apartment,1143.6,Abu Dhabi,0.0223,0.0643,0.1209
01-06-2013,Villa,842.9,Abu Dhabi,0.002,-0.0006,0.0801
01-05-2013,Apartment,1118.6,Abu Dhabi,0.0217,0.0609,0.0751
01-05-2013,Villa,841.3,Abu Dhabi,-0.0019,0.0054,0.0728
01-04-2013,Apartment,1094.9,Abu Dhabi,0.019,0.0481,0.0349
01-04-2013,Villa,842.8,Abu Dhabi,-0.0007,0.0202,0.0687
01-03-2013,Apartment,1074.5,Abu Dhabi,0.0191,0.0408,-0.0008
01-03-2013,Villa,843.4,Abu Dhabi,0.008,0.0391,0.0743
01-02-2013,Apartment,1054.4,Abu Dhabi,0.0093,0.0304,-0.0345
01-02-2013,Villa,836.8,Abu Dhabi,0.0129,0.0531,0.0644
01-01-2013,Apartment,1044.7,Abu Dhabi,0.0119,0.037,-0.0531
01-01-2013,Villa,826.1,Abu Dhabi,0.0177,0.0611,0.0567
01-12-2012,Apartment,1032.4,Abu Dhabi,0.0089,0.0342,-0.0737
01-12-2012,Villa,811.7,Abu Dhabi,0.0216,0.0598,0.0428
01-11-2012,Apartment,1023.3,Abu Dhabi,0.0157,0.0209,-0.0905
01-11-2012,Villa,794.5,Abu Dhabi,0.0206,0.0371,0.0203
01-10-2012,Apartment,1007.4,Abu Dhabi,0.0092,0.0057,-0.1147
01-10-2012,Villa,778.5,Abu Dhabi,0.0164,0.005,-0.0032
01-09-2012,Apartment,998.2,Abu Dhabi,-0.0041,-0.0216,-0.1254
01-09-2012,Villa,766.0,Abu Dhabi,-0.0002,-0.0185,-0.0219
01-08-2012,Apartment,1002.3,Abu Dhabi,0.0006,-0.0366,-0.1289
01-08-2012,Villa,766.1,Abu Dhabi,-0.011,-0.023,-0.0246
01-07-2012,Apartment,1001.7,Abu Dhabi,-0.0181,-0.0531,-0.1362
01-07-2012,Villa,774.6,Abu Dhabi,-0.0074,-0.0178,-0.0184
01-06-2012,Apartment,1020.2,Abu Dhabi,-0.0194,-0.0512,-0.1283
01-06-2012,Villa,780.4,Abu Dhabi,-0.0048,-0.0059,-0.0142
01-05-2012,Apartment,1040.5,Abu Dhabi,-0.0165,-0.0473,-0.1189
01-05-2012,Villa,784.2,Abu Dhabi,-0.0057,-0.0025,-0.0092
01-04-2012,Apartment,1057.9,Abu Dhabi,-0.0162,-0.0411,-0.1131
01-04-2012,Villa,788.7,Abu Dhabi,0.0046,0.0088,-0.0012
01-03-2012,Apartment,1075.3,Abu Dhabi,-0.0154,-0.0352,-0.1066
01-03-2012,Villa,785.1,Abu Dhabi,-0.0013,0.0086,-0.0023
01-02-2012,Apartment,1092.1,Abu Dhabi,-0.0101,-0.0294,-0.1021
01-02-2012,Villa,786.1,Abu Dhabi,0.0055,0.0094,0.0022
01-01-2012,Apartment,1103.2,Abu Dhabi,-0.0102,-0.0305,-0.1016
01-01-2012,Villa,781.8,Abu Dhabi,0.0044,0.0009,0.0004
01-12-2011,Apartment,1114.6,Abu Dhabi,-0.0094,-0.0235,-0.0864
01-12-2011,Villa,778.4,Abu Dhabi,-0.0005,-0.0061,-0.0006
01-11-2011,Apartment,1125.1,Abu Dhabi,-0.0113,-0.0222,-0.0678
01-11-2011,Villa,778.7,Abu Dhabi,-0.0029,-0.0084,-0.001
01-10-2011,Apartment,1138.0,Abu Dhabi,-0.003,-0.0187,-0.0694
01-10-2011,Villa,781.0,Abu Dhabi,-0.0027,-0.0103,-0.0035
01-09-2011,Apartment,1141.4,Abu Dhabi,-0.008,-0.0248,-0.0817
01-09-2011,Villa,783.1,Abu Dhabi,-0.0029,-0.0108,-0.0045
01-08-2011,Apartment,1150.7,Abu Dhabi,-0.0078,-0.0255,-0.0924
01-08-2011,Villa,785.4,Abu Dhabi,-0.0048,-0.0077,-0.0081
01-07-2011,Apartment,1159.7,Abu Dhabi,-0.0092,-0.0278,-0.0947
01-07-2011,Villa,789.2,Abu Dhabi,-0.0032,-0.0005,-0.0089
01-06-2011,Apartment,1170.5,Abu Dhabi,-0.0088,-0.0276,-0.0936
01-06-2011,Villa,791.7,Abu Dhabi,0.0003,0.0061,-0.0128
01-05-2011,Apartment,1180.8,Abu Dhabi,-0.01,-0.0291,-0.102
01-05-2011,Villa,791.4,Abu Dhabi,0.0024,0.009,-0.0277
01-04-2011,Apartment,1192.8,Abu Dhabi,-0.009,-0.0286,-0.1111
01-04-2011,Villa,789.6,Abu Dhabi,0.0034,0.0104,-0.0442
01-03-2011,Apartment,1203.7,Abu Dhabi,-0.0103,-0.0133,-0.1254
01-03-2011,Villa,786.9,Abu Dhabi,0.0032,0.0103,-0.0541
01-02-2011,Apartment,1216.2,Abu Dhabi,-0.0096,0.0077,-0.1507
01-02-2011,Villa,784.4,Abu Dhabi,0.0038,0.0062,-0.0701
01-01-2011,Apartment,1228.0,Abu Dhabi,0.0066,0.0042,-0.1712
01-01-2011,Villa,781.5,Abu Dhabi,0.0033,-0.003,-0.0962
