Date,Property Type,Average Rent Price (AED/Sqf),Location,M-o-m Change (%),Q-o-q Change (%),Y-o-y Change (%)
01-03-2023,Apartment,65.8,Abu Dhabi,0.0052,-0.0046,-0.0213
01-03-2023,Villa,46.2,Abu Dhabi,0.0044,0.0194,0.0424
01-02-2023,Apartment,65.5,Abu Dhabi,-0.0039,-0.0153,-0.0289
01-02-2023,Villa,46.0,Abu Dhabi,0.0023,0.0167,0.0346
01-01-2023,Apartment,65.7,Abu Dhabi,-0.0059,-0.011,-0.0249
01-01-2023,Villa,45.9,Abu Dhabi,0.0127,0.0197,0.027
01-12-2022,Apartment,66.1,Abu Dhabi,-0.0056,-0.0003,-0.0131
01-12-2022,Villa,45.3,Abu Dhabi,0.0016,0.0158,0.0046
01-11-2022,Apartment,66.5,Abu Dhabi,0.0004,0.0033,-0.0095
01-11-2022,Villa,45.3,Abu Dhabi,0.0053,0.0187,-0.0006
01-10-2022,Apartment,66.5,Abu Dhabi,0.0049,0.0089,-0.0087
01-10-2022,Villa,45.0,Abu Dhabi,0.0089,0.0214,-0.0052
01-09-2022,Apartment,66.1,Abu Dhabi,-0.0019,-0.0021,-0.0033
01-09-2022,Villa,44.6,Abu Dhabi,0.0045,0.0135,-0.0125
01-08-2022,Apartment,66.3,Abu Dhabi,0.006,-0.0086,0.002
01-08-2022,Villa,44.4,Abu Dhabi,0.0079,0.0025,-0.0156
01-07-2022,Apartment,65.9,Abu Dhabi,-0.0061,-0.0158,-0.0017
01-07-2022,Villa,44.1,Abu Dhabi,0.0011,-0.0099,-0.0277
01-06-2022,Apartment,66.3,Abu Dhabi,-0.0084,-0.0143,0.0063
01-06-2022,Villa,44.0,Abu Dhabi,-0.0065,-0.0069,-0.0233
01-05-2022,Apartment,66.8,Abu Dhabi,-0.0014,-0.0086,0.0224
01-05-2022,Villa,44.3,Abu Dhabi,-0.0046,-0.0035,-0.0209
01-04-2022,Apartment,66.9,Abu Dhabi,-0.0046,-0.007,0.0186
01-04-2022,Villa,44.5,Abu Dhabi,0.0042,-0.0041,-0.0128
01-03-2022,Apartment,67.2,Abu Dhabi,-0.0026,0.0037,0.0106
01-03-2022,Villa,44.3,Abu Dhabi,-0.0032,-0.0176,-0.0155
01-02-2022,Apartment,67.4,Abu Dhabi,0.0002,0.0043,0.0092
01-02-2022,Villa,44.5,Abu Dhabi,-0.0052,-0.0179,-0.0065
01-01-2022,Apartment,67.4,Abu Dhabi,0.0061,0.0054,-0.0031
01-01-2022,Villa,44.7,Abu Dhabi,-0.0093,-0.0122,0.0058
01-12-2021,Apartment,67.0,Abu Dhabi,-0.002,0.0096,-0.0214
01-12-2021,Villa,45.1,Abu Dhabi,-0.0036,-0.0015,0.0206
01-11-2021,Apartment,67.1,Abu Dhabi,0.0012,0.015,-0.0277
01-11-2021,Villa,45.3,Abu Dhabi,0.0007,0.0035,0.017
01-10-2021,Apartment,67.1,Abu Dhabi,0.0103,0.016,-0.0337
01-10-2021,Villa,45.3,Abu Dhabi,0.0014,-0.0017,0.013
01-09-2021,Apartment,66.4,Abu Dhabi,0.0034,0.0075,-0.0506
01-09-2021,Villa,45.2,Abu Dhabi,0.0014,0.0025,0.0138
01-08-2021,Apartment,66.1,Abu Dhabi,0.0022,0.0116,-0.0609
01-08-2021,Villa,45.1,Abu Dhabi,-0.0045,-0.0029,0.0181
01-07-2021,Apartment,66.0,Abu Dhabi,0.0019,0.0042,-0.0681
01-07-2021,Villa,45.3,Abu Dhabi,0.0056,0.0053,0.0264
01-06-2021,Apartment,65.9,Abu Dhabi,0.0075,-0.0101,-0.0701
01-06-2021,Villa,45.1,Abu Dhabi,-0.0041,0.001,0.0294
01-05-2021,Apartment,65.4,Abu Dhabi,-0.0051,-0.0214,-0.0774
01-05-2021,Villa,45.3,Abu Dhabi,0.0037,0.0111,0.0281
01-04-2021,Apartment,65.7,Abu Dhabi,-0.0124,-0.0281,-0.0759
01-04-2021,Villa,45.1,Abu Dhabi,0.0014,0.0147,0.0215
01-03-2021,Apartment,66.5,Abu Dhabi,-0.004,-0.0281,-0.0674
01-03-2021,Villa,45.0,Abu Dhabi,0.006,0.0185,0.0092
01-02-2021,Apartment,66.8,Abu Dhabi,-0.0119,-0.0324,-0.0656
01-02-2021,Villa,44.8,Abu Dhabi,0.0072,0.0052,0.001
01-01-2021,Apartment,67.6,Abu Dhabi,-0.0124,-0.0255,-0.0566
01-01-2021,Villa,44.4,Abu Dhabi,0.0052,-0.0051,-0.0173
01-12-2020,Apartment,68.5,Abu Dhabi,-0.0084,-0.0205,-0.0462
01-12-2020,Villa,44.2,Abu Dhabi,-0.0071,-0.0082,-0.0264
01-11-2020,Apartment,69.0,Abu Dhabi,-0.0049,-0.0196,-0.0408
01-11-2020,Villa,44.5,Abu Dhabi,-0.0032,0.0046,-0.0166
01-10-2020,Apartment,69.4,Abu Dhabi,-0.0073,-0.0201,-0.044
01-10-2020,Villa,44.7,Abu Dhabi,0.0022,0.0115,-0.0156
01-09-2020,Apartment,69.9,Abu Dhabi,-0.0075,-0.0132,-0.0488
01-09-2020,Villa,44.6,Abu Dhabi,0.0057,0.0179,-0.0127
01-08-2020,Apartment,70.4,Abu Dhabi,-0.0054,-0.0061,-0.0487
01-08-2020,Villa,44.3,Abu Dhabi,0.0036,0.0068,-0.0298
01-07-2020,Apartment,70.8,Abu Dhabi,-0.0003,-0.0042,-0.0466
01-07-2020,Villa,44.2,Abu Dhabi,0.0086,0.0005,-0.0308
01-06-2020,Apartment,70.8,Abu Dhabi,-0.0004,-0.0072,-0.0545
01-06-2020,Villa,43.8,Abu Dhabi,-0.0053,-0.0185,-0.0455
01-05-2020,Apartment,70.9,Abu Dhabi,-0.0035,-0.0089,-0.0522
01-05-2020,Villa,44.0,Abu Dhabi,-0.0027,-0.0155,-0.0337
01-04-2020,Apartment,71.1,Abu Dhabi,-0.0033,-0.0079,-0.0494
01-04-2020,Villa,44.1,Abu Dhabi,-0.0106,-0.0239,-0.0405
01-03-2020,Apartment,71.3,Abu Dhabi,-0.0022,-0.006,-0.0575
01-03-2020,Villa,44.6,Abu Dhabi,-0.0023,-0.0174,-0.0329
01-02-2020,Apartment,71.5,Abu Dhabi,-0.0024,-0.0066,-0.0509
01-02-2020,Villa,44.7,Abu Dhabi,-0.0112,-0.0124,-0.0427
01-01-2020,Apartment,71.7,Abu Dhabi,-0.0015,-0.0125,-0.0566
01-01-2020,Villa,45.2,Abu Dhabi,-0.004,-0.0035,-0.0462
01-12-2019,Apartment,71.8,Abu Dhabi,-0.0028,-0.0231,-0.0646
01-12-2019,Villa,45.4,Abu Dhabi,0.0028,0.0058,-0.0529
01-11-2019,Apartment,72.0,Abu Dhabi,-0.0082,-0.0277,-0.0658
01-11-2019,Villa,45.3,Abu Dhabi,-0.0022,-0.0089,-0.0654
01-10-2019,Apartment,72.6,Abu Dhabi,-0.0123,-0.0229,-0.062
01-10-2019,Villa,45.4,Abu Dhabi,0.0052,-0.0041,-0.0704
01-09-2019,Apartment,73.5,Abu Dhabi,-0.0075,-0.0192,-0.0568
01-09-2019,Villa,45.1,Abu Dhabi,-0.0118,-0.0159,-0.0854
01-08-2019,Apartment,74.0,Abu Dhabi,-0.0033,-0.0097,-0.0581
01-08-2019,Villa,45.7,Abu Dhabi,0.0026,0.0028,-0.0831
01-07-2019,Apartment,74.3,Abu Dhabi,-0.0085,-0.0071,-0.061
01-07-2019,Villa,45.6,Abu Dhabi,-0.0068,-0.0096,-0.0975
01-06-2019,Apartment,74.9,Abu Dhabi,0.0021,-0.0104,-0.0638
01-06-2019,Villa,45.9,Abu Dhabi,0.007,-0.0056,-0.1064
01-05-2019,Apartment,74.8,Abu Dhabi,-0.0006,-0.0076,-0.0799
01-05-2019,Villa,45.6,Abu Dhabi,-0.0098,-0.0247,-0.1131
01-04-2019,Apartment,74.8,Abu Dhabi,-0.0118,-0.0153,-0.0936
01-04-2019,Villa,46.0,Abu Dhabi,-0.0027,-0.0297,-0.1045
01-03-2019,Apartment,75.7,Abu Dhabi,0.0048,-0.0135,-0.0848
01-03-2019,Villa,46.1,Abu Dhabi,-0.0124,-0.0377,-0.1001
01-02-2019,Apartment,75.3,Abu Dhabi,-0.0083,-0.0222,-0.0948
01-02-2019,Villa,46.7,Abu Dhabi,-0.0148,-0.0358,-0.0994
01-01-2019,Apartment,76.0,Abu Dhabi,-0.01,-0.0181,-0.0975
01-01-2019,Villa,47.4,Abu Dhabi,-0.011,-0.0287,-0.0943
01-12-2018,Apartment,76.7,Abu Dhabi,-0.004,-0.015,-0.0977
01-12-2018,Villa,47.9,Abu Dhabi,-0.0104,-0.0288,-0.0927
01-11-2018,Apartment,77.1,Abu Dhabi,-0.0042,-0.0197,-0.1078
01-11-2018,Villa,48.5,Abu Dhabi,-0.0076,-0.0276,-0.0952
01-10-2018,Apartment,77.4,Abu Dhabi,-0.0068,-0.0218,-0.1155
01-10-2018,Villa,48.8,Abu Dhabi,-0.0111,-0.0331,-0.0982
01-09-2018,Apartment,77.9,Abu Dhabi,-0.0088,-0.0264,-0.1169
01-09-2018,Villa,49.4,Abu Dhabi,-0.0093,-0.0385,-0.0991
01-08-2018,Apartment,78.6,Abu Dhabi,-0.0063,-0.0327,-0.1179
01-08-2018,Villa,49.8,Abu Dhabi,-0.0132,-0.0301,-0.0884
01-07-2018,Apartment,79.1,Abu Dhabi,-0.0115,-0.0416,-0.1239
01-07-2018,Villa,50.5,Abu Dhabi,-0.0165,-0.0173,-0.0804
01-06-2018,Apartment,80.0,Abu Dhabi,-0.0152,-0.0326,-0.1231
01-06-2018,Villa,51.3,Abu Dhabi,-0.0007,0.0013,-0.0677
01-05-2018,Apartment,81.3,Abu Dhabi,-0.0154,-0.0237,-0.1186
01-05-2018,Villa,51.4,Abu Dhabi,-0.0001,-0.0096,-0.0727
01-04-2018,Apartment,82.5,Abu Dhabi,-0.0023,-0.0196,-0.1022
01-04-2018,Villa,51.4,Abu Dhabi,0.0021,-0.0187,-0.0772
01-03-2018,Apartment,82.7,Abu Dhabi,-0.0062,-0.0274,-0.1068
01-03-2018,Villa,51.3,Abu Dhabi,-0.0116,-0.0297,-0.0924
01-02-2018,Apartment,83.2,Abu Dhabi,-0.0113,-0.0363,-0.1108
01-02-2018,Villa,51.9,Abu Dhabi,-0.0093,-0.0313,-0.0949
01-01-2018,Apartment,84.2,Abu Dhabi,-0.0102,-0.0377,-0.112
01-01-2018,Villa,52.4,Abu Dhabi,-0.0092,-0.0329,-0.0954
01-12-2017,Apartment,85.0,Abu Dhabi,-0.0152,-0.036,-0.1171
01-12-2017,Villa,52.8,Abu Dhabi,-0.0132,-0.0356,-0.1004
01-11-2017,Apartment,86.4,Abu Dhabi,-0.0128,-0.0308,-0.1118
01-11-2017,Villa,53.5,Abu Dhabi,-0.0109,-0.0203,-0.0972
01-10-2017,Apartment,87.5,Abu Dhabi,-0.0084,-0.0311,-0.1124
01-10-2017,Villa,54.1,Abu Dhabi,-0.012,-0.014,-0.0947
01-09-2017,Apartment,88.2,Abu Dhabi,-0.0099,-0.0333,-0.1121
01-09-2017,Villa,54.8,Abu Dhabi,0.0025,-0.005,-0.0876
01-08-2017,Apartment,89.1,Abu Dhabi,-0.0131,-0.0334,-0.1109
01-08-2017,Villa,54.7,Abu Dhabi,-0.0045,-0.0134,-0.0933
01-07-2017,Apartment,90.3,Abu Dhabi,-0.0106,-0.0178,-0.1045
01-07-2017,Villa,54.9,Abu Dhabi,-0.0029,-0.0138,-0.0919
01-06-2017,Apartment,91.3,Abu Dhabi,-0.0101,-0.0145,-0.1018
01-06-2017,Villa,55.1,Abu Dhabi,-0.006,-0.0253,-0.0865
01-05-2017,Apartment,92.2,Abu Dhabi,0.0028,-0.0152,-0.0993
01-05-2017,Villa,55.4,Abu Dhabi,-0.005,-0.0333,-0.0811
01-04-2017,Apartment,91.9,Abu Dhabi,-0.0073,-0.0303,-0.1102
01-04-2017,Villa,55.7,Abu Dhabi,-0.0145,-0.038,-0.0829
01-03-2017,Apartment,92.6,Abu Dhabi,-0.0107,-0.0387,-0.1048
01-03-2017,Villa,56.5,Abu Dhabi,-0.0142,-0.0382,-0.0758
01-02-2017,Apartment,93.6,Abu Dhabi,-0.0126,-0.0372,-0.097
01-02-2017,Villa,57.3,Abu Dhabi,-0.0098,-0.0337,-0.0708
01-01-2017,Apartment,94.8,Abu Dhabi,-0.0159,-0.0382,-0.09
01-01-2017,Villa,57.9,Abu Dhabi,-0.0147,-0.0321,-0.0593
01-12-2016,Apartment,96.3,Abu Dhabi,-0.0093,-0.0305,-0.0792
01-12-2016,Villa,58.7,Abu Dhabi,-0.0096,-0.0219,-0.0396
01-11-2016,Apartment,97.2,Abu Dhabi,-0.0135,-0.0299,-0.0801
01-11-2016,Villa,59.3,Abu Dhabi,-0.0082,-0.0162,-0.037
01-10-2016,Apartment,98.6,Abu Dhabi,-0.008,-0.0224,-0.0651
01-10-2016,Villa,59.8,Abu Dhabi,-0.0043,-0.011,-0.0293
01-09-2016,Apartment,99.4,Abu Dhabi,-0.0087,-0.0221,-0.0573
01-09-2016,Villa,60.1,Abu Dhabi,-0.0038,-0.0038,-0.0107
01-08-2016,Apartment,100.2,Abu Dhabi,-0.0059,-0.0207,-0.0302
01-08-2016,Villa,60.3,Abu Dhabi,-0.0029,-0.0001,-0.0155
01-07-2016,Apartment,100.8,Abu Dhabi,-0.0077,-0.0241,-0.0307
01-07-2016,Villa,60.5,Abu Dhabi,0.003,-0.0041,-0.0154
01-06-2016,Apartment,101.6,Abu Dhabi,-0.0073,-0.0178,-0.03
01-06-2016,Villa,60.3,Abu Dhabi,-0.0001,-0.0139,-0.0152
01-05-2016,Apartment,102.4,Abu Dhabi,-0.0093,-0.0127,-0.0211
01-05-2016,Villa,60.3,Abu Dhabi,-0.0069,-0.0226,-0.0174
01-04-2016,Apartment,103.3,Abu Dhabi,-0.0013,-0.0083,-0.0024
01-04-2016,Villa,60.7,Abu Dhabi,-0.0068,-0.0133,-0.0141
01-03-2016,Apartment,103.4,Abu Dhabi,-0.0021,-0.0112,0.0047
01-03-2016,Villa,61.1,Abu Dhabi,-0.0089,-0.0005,0.0007
01-02-2016,Apartment,103.7,Abu Dhabi,-0.0049,-0.0192,0.0028
01-02-2016,Villa,61.7,Abu Dhabi,0.0025,0.0015,0.0113
01-01-2016,Apartment,104.2,Abu Dhabi,-0.0042,-0.0119,0.0211
01-01-2016,Villa,61.5,Abu Dhabi,0.006,-0.0012,0.0007
01-12-2015,Apartment,104.6,Abu Dhabi,-0.0102,-0.0074,0.029
01-12-2015,Villa,61.2,Abu Dhabi,-0.007,0.0075,-0.0074
01-11-2015,Apartment,105.7,Abu Dhabi,0.0026,0.0227,0.043
01-11-2015,Villa,61.6,Abu Dhabi,-0.0002,0.0058,-0.0046
01-10-2015,Apartment,105.4,Abu Dhabi,0.0002,0.0136,0.0387
01-10-2015,Villa,61.6,Abu Dhabi,0.0148,0.0032,0.0084
01-09-2015,Apartment,105.4,Abu Dhabi,0.0199,0.0062,0.0496
01-09-2015,Villa,60.7,Abu Dhabi,-0.0086,-0.0083,-0.0068
01-08-2015,Apartment,103.3,Abu Dhabi,-0.0064,-0.0115,0.0416
01-08-2015,Villa,61.2,Abu Dhabi,-0.0029,-0.002,-0.0032
01-07-2015,Apartment,104.0,Abu Dhabi,-0.007,0.0044,0.0516
01-07-2015,Villa,61.4,Abu Dhabi,0.0032,-0.0028,-0.0053
01-06-2015,Apartment,104.7,Abu Dhabi,0.0019,0.0173,0.0622
01-06-2015,Villa,61.2,Abu Dhabi,-0.0023,0.002,0.0035
01-05-2015,Apartment,104.6,Abu Dhabi,0.0096,0.0114,0.0681
01-05-2015,Villa,61.4,Abu Dhabi,-0.0036,0.006,0.0221
01-04-2015,Apartment,103.6,Abu Dhabi,0.0057,0.0151,0.0641
01-04-2015,Villa,61.6,Abu Dhabi,0.0081,0.0015,0.0377
01-03-2015,Apartment,103.0,Abu Dhabi,-0.0039,0.0128,0.0525
01-03-2015,Villa,61.1,Abu Dhabi,0.0016,-0.0086,0.0224
01-02-2015,Apartment,103.4,Abu Dhabi,0.0133,0.0201,0.0621
01-02-2015,Villa,61.0,Abu Dhabi,-0.0081,-0.0143,0.0373
01-01-2015,Apartment,102.0,Abu Dhabi,0.0035,0.0051,0.0625
01-01-2015,Villa,61.5,Abu Dhabi,-0.0022,0.0065,0.0392
01-12-2014,Apartment,101.7,Abu Dhabi,0.0033,0.0124,0.0694
01-12-2014,Villa,61.6,Abu Dhabi,-0.0041,0.0082,0.0505
01-11-2014,Apartment,101.3,Abu Dhabi,-0.0016,0.0213,0.0783
01-11-2014,Villa,61.9,Abu Dhabi,0.0128,0.0073,0.0654
01-10-2014,Apartment,101.5,Abu Dhabi,0.0108,0.0262,0.1048
01-10-2014,Villa,61.1,Abu Dhabi,-0.0005,-0.0104,0.0668
01-09-2014,Apartment,100.4,Abu Dhabi,0.0121,0.0184,0.1178
01-09-2014,Villa,61.1,Abu Dhabi,-0.005,0.002,0.0613
01-08-2014,Apartment,99.2,Abu Dhabi,0.0031,0.0136,0.1262
01-08-2014,Villa,61.4,Abu Dhabi,-0.005,0.0232,0.0659
01-07-2014,Apartment,98.9,Abu Dhabi,0.0031,0.0164,0.1306
01-07-2014,Villa,61.7,Abu Dhabi,0.012,0.0403,0.0667
01-06-2014,Apartment,98.6,Abu Dhabi,0.0074,0.008,0.1234
01-06-2014,Villa,61.0,Abu Dhabi,0.0161,0.0209,0.0706
01-05-2014,Apartment,97.9,Abu Dhabi,0.0059,0.0057,0.1041
01-05-2014,Villa,60.0,Abu Dhabi,0.0116,0.021,0.0634
01-04-2014,Apartment,97.3,Abu Dhabi,-0.0053,0.0135,0.0973
01-04-2014,Villa,59.3,Abu Dhabi,-0.0068,0.003,0.0625
01-03-2014,Apartment,97.8,Abu Dhabi,0.0051,0.029,0.0902
01-03-2014,Villa,59.7,Abu Dhabi,0.0162,0.0186,0.0824
01-02-2014,Apartment,97.3,Abu Dhabi,0.0136,0.0357,0.0969
01-02-2014,Villa,58.8,Abu Dhabi,-0.0062,0.0124,0.0769
01-01-2014,Apartment,96.0,Abu Dhabi,0.01,0.0452,0.0967
01-01-2014,Villa,59.2,Abu Dhabi,0.0086,0.0331,0.1026
01-12-2013,Apartment,95.1,Abu Dhabi,0.0117,0.0582,0.1045
01-12-2013,Villa,58.7,Abu Dhabi,0.01,0.0186,0.0969
01-11-2013,Apartment,94.0,Abu Dhabi,0.0229,0.0667,0.1094
01-11-2013,Villa,58.1,Abu Dhabi,0.0142,0.0077,0.0954
01-10-2013,Apartment,91.9,Abu Dhabi,0.0226,0.0501,0.0951
01-10-2013,Villa,57.3,Abu Dhabi,-0.0056,-0.0105,0.075
01-09-2013,Apartment,89.8,Abu Dhabi,0.0198,0.0235,0.0597
01-09-2013,Villa,57.6,Abu Dhabi,-0.0008,0.0108,0.0684
01-08-2013,Apartment,88.1,Abu Dhabi,0.007,-0.0063,0.0263
01-08-2013,Villa,57.6,Abu Dhabi,-0.0042,0.0209,0.0629
01-07-2013,Apartment,87.5,Abu Dhabi,-0.0033,-0.0135,0.0179
01-07-2013,Villa,57.9,Abu Dhabi,0.0158,0.0362,0.0653
01-06-2013,Apartment,87.8,Abu Dhabi,-0.0099,-0.0218,0.0053
01-06-2013,Villa,57.0,Abu Dhabi,0.0092,0.0321,0.0472
01-05-2013,Apartment,88.7,Abu Dhabi,-0.0003,-0.0008,-0.0028
01-05-2013,Villa,56.5,Abu Dhabi,0.0107,0.034,0.039
01-04-2013,Apartment,88.7,Abu Dhabi,-0.0117,0.0128,-0.0099
01-04-2013,Villa,55.9,Abu Dhabi,0.0119,0.041,0.0249
01-03-2013,Apartment,89.7,Abu Dhabi,0.0113,0.0426,-0.0152
01-03-2013,Villa,55.2,Abu Dhabi,0.0111,0.0322,0.0071
01-02-2013,Apartment,88.7,Abu Dhabi,0.0134,0.0475,-0.0365
01-02-2013,Villa,54.6,Abu Dhabi,0.0175,0.0298,-0.0078
01-01-2013,Apartment,87.6,Abu Dhabi,0.0173,0.0437,-0.0513
01-01-2013,Villa,53.7,Abu Dhabi,0.0034,0.0073,-0.0278
01-12-2012,Apartment,86.1,Abu Dhabi,0.0162,0.0152,-0.0757
01-12-2012,Villa,53.5,Abu Dhabi,0.0086,-0.0079,-0.0437
01-11-2012,Apartment,84.7,Abu Dhabi,0.0097,-0.0132,-0.1077
01-11-2012,Villa,53.0,Abu Dhabi,-0.0047,-0.0222,-0.076
01-10-2012,Apartment,83.9,Abu Dhabi,-0.0105,-0.0238,-0.1413
01-10-2012,Villa,53.3,Abu Dhabi,-0.0117,-0.0195,-0.0965
01-09-2012,Apartment,84.8,Abu Dhabi,-0.0123,-0.029,-0.1568
01-09-2012,Villa,53.9,Abu Dhabi,-0.0059,-0.0092,-0.107
01-08-2012,Apartment,85.8,Abu Dhabi,-0.0012,-0.0345,-0.1729
01-08-2012,Villa,54.2,Abu Dhabi,-0.002,-0.0021,-0.1235
01-07-2012,Apartment,85.9,Abu Dhabi,-0.0157,-0.0405,-0.1916
01-07-2012,Villa,54.3,Abu Dhabi,-0.0014,-0.0031,-0.1399
01-06-2012,Apartment,87.3,Abu Dhabi,-0.0179,-0.0418,-0.1917
01-06-2012,Villa,54.4,Abu Dhabi,0.0013,-0.0074,-0.1512
01-05-2012,Apartment,88.9,Abu Dhabi,-0.0074,-0.0346,-0.1811
01-05-2012,Villa,54.3,Abu Dhabi,-0.003,-0.0125,-0.1536
01-04-2012,Apartment,89.6,Abu Dhabi,-0.0171,-0.0296,-0.1798
01-04-2012,Villa,54.5,Abu Dhabi,-0.0056,-0.0126,-0.1494
01-03-2012,Apartment,91.1,Abu Dhabi,-0.0105,-0.0215,-0.1698
01-03-2012,Villa,54.8,Abu Dhabi,-0.0039,-0.0198,-0.1414
01-02-2012,Apartment,92.1,Abu Dhabi,-0.0022,-0.0299,-0.1651
01-02-2012,Villa,55.0,Abu Dhabi,-0.0031,-0.041,-0.1371
01-01-2012,Apartment,92.3,Abu Dhabi,-0.0089,-0.0553,-0.1662
01-01-2012,Villa,55.2,Abu Dhabi,-0.013,-0.0639,-0.1329
01-12-2011,Apartment,93.1,Abu Dhabi,-0.019,-0.0739,-0.1647
01-12-2011,Villa,55.9,Abu Dhabi,-0.0254,-0.0737,-0.1208
01-11-2011,Apartment,94.9,Abu Dhabi,-0.0283,-0.0852,-0.155
01-11-2011,Villa,57.4,Abu Dhabi,-0.0269,-0.0725,-0.0972
01-10-2011,Apartment,97.7,Abu Dhabi,-0.0284,-0.081,-0.1386
01-10-2011,Villa,59.0,Abu Dhabi,-0.0232,-0.0666,-0.0742
01-09-2011,Apartment,100.6,Abu Dhabi,-0.0311,-0.0691,-0.1233
01-09-2011,Villa,60.4,Abu Dhabi,-0.0242,-0.0582,-0.054
01-08-2011,Apartment,103.8,Abu Dhabi,-0.0238,-0.0442,-0.1063
01-08-2011,Villa,61.9,Abu Dhabi,-0.0207,-0.0364,-0.0303
01-07-2011,Apartment,106.3,Abu Dhabi,-0.0159,-0.0265,-0.0917
01-07-2011,Villa,63.2,Abu Dhabi,-0.0144,-0.0141,-0.0116
01-06-2011,Apartment,108.0,Abu Dhabi,-0.0051,-0.0159,-0.0959
01-06-2011,Villa,64.1,Abu Dhabi,-0.0016,0.004,-0.0155
01-05-2011,Apartment,108.6,Abu Dhabi,-0.0058,-0.0157,-0.1102
01-05-2011,Villa,64.2,Abu Dhabi,0.002,0.0067,-0.0345
01-04-2011,Apartment,109.2,Abu Dhabi,-0.0051,-0.0135,-0.1228
01-04-2011,Villa,64.1,Abu Dhabi,0.0036,0.0066,-0.0547
01-03-2011,Apartment,109.8,Abu Dhabi,-0.0049,-0.0154,-0.1271
01-03-2011,Villa,63.8,Abu Dhabi,0.0011,0.0038,-0.0685
01-02-2011,Apartment,110.3,Abu Dhabi,-0.0035,-0.0181,-0.1316
01-02-2011,Villa,63.8,Abu Dhabi,0.0019,0.0034,-0.0791
01-01-2011,Apartment,110.7,Abu Dhabi,-0.0071,-0.024,-0.137
01-01-2011,Villa,63.6,Abu Dhabi,0.0008,-0.0006,-0.0887
